CookerStat, GenerateAssetRegistry=0.023320, Initialize=0.144254, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C984A14B4C828F52416BF6A1089FF50__2794303F918EAFB779BD9DD2CC4A1B497CF7F231, StartTime=2016.05.27-14.19.14, HierarchicalDDC=, DataSize=840, Duration=27.457808, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C50B816464CCC8B300534A1100D56C6__B1B383481F0D93D0107D147CA5264C548EAC2397, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=33028, Duration=2.259415, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C50B816464CCC8B300534A1100D56C6__40720D9CDA0F726ACC0B78A9D41ABC927F83F6F4, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=8452, Duration=1.963247, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_3, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_1F1EFF7146A1BAED4622B390A77C3499_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.16, Duration=4.008781, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_5C50B816464CCC8B300534A1100D56C6__4E02A955DB8991F69699C5B7AA07B77059820748, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=4143, Duration=1.488842, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_2, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_DXT1_1F1EFF7146A1BAED4622B390A77C3499__1F0D8E04E9F1D2C7C558630BF3A82ADB21C3D46E, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=3267, Duration=1.538150, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_4, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FDDC3B534CFE5F90E19662A2879529C6_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.16, Duration=6.617006, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FDDC3B534CFE5F90E19662A2879529C__F6E00A300FEA9A75282155F0AFB9C622B87FB4F8, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=524549, Duration=2.699506, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FDDC3B534CFE5F90E19662A2879529C__41C5DEEFD0A8E66D16AD7518BF72FC37894F5D53, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=131333, Duration=2.465636, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_3, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FDDC3B534CFE5F90E19662A2879529C__1A35B25235FA446188EDB36FE1A6B9AEBA4FA9E8, StartTime=2016.05.27-14.19.16, HierarchicalDDC=, DataSize=33028, Duration=20.991049, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_5, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_D8EB37A34B27BD0F8146FB9A1154CD39_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F0000000000000000020000000E000000000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.16, Duration=0.555027, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_FDDC3B534CFE5F90E19662A2879529C__CA1B460C039D8259BF4770CFA3B66BA4DF71A94C, StartTime=2016.05.27-14.19.17, HierarchicalDDC=, DataSize=12330, Duration=16.272995, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_4, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BGRA8_D8EB37A34B27BD0F8146FB9A1154CD3__D8D8CEABDA0CE6982ED1C285B0B240DBB0DC8833, StartTime=2016.05.27-14.19.17, HierarchicalDDC=, DataSize=11452, Duration=17.031244, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_6, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.17, Duration=479.977417, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___A697CFAE0409D6CF04E82C2206941782443D8D47, StartTime=2016.05.27-14.19.18, HierarchicalDDC=, DataSize=4194565, Duration=15.377156, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_5, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___F627F0DF29AD7E7EB523180964776B03AD3C983A, StartTime=2016.05.27-14.19.18, HierarchicalDDC=, DataSize=1048837, Duration=5.500622, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___C31F051D21C90A74358572AD18162314CB497A6C, StartTime=2016.05.27-14.19.18, HierarchicalDDC=, DataSize=262403, Duration=4.026439, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___B5F1974D20D44E760919507B1E379D6CA24FED24, StartTime=2016.05.27-14.19.18, HierarchicalDDC=, DataSize=65795, Duration=2.055861, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___F661EBDEBF9F582DE578F9A8E9FA7DBB32106EF5, StartTime=2016.05.27-14.19.18, HierarchicalDDC=, DataSize=16643, Duration=2.305057, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_3336FBEF4A3526C6FE3A369BA3AB0A8C___5B5864B36FA96F6A0BC111C00D8F655A6FF197A6, StartTime=2016.05.27-14.19.18, HierarchicalDDC=, DataSize=7468, Duration=2.283737, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_7, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2EF91F43478B588C1E53949F7C1BB35D_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.18, Duration=2940.979980, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2EF91F43478B588C1E53949F7C1BB__70FB5D92DB76D784A0B4299AA6ECCC64213F6C03, StartTime=2016.05.27-14.19.21, HierarchicalDDC=, DataSize=4194569, Duration=11.519961, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2EF91F43478B588C1E53949F7C1BB__01B86CD38AC08269D0E73FF50193B527DFFBA9F5, StartTime=2016.05.27-14.19.21, HierarchicalDDC=, DataSize=1048841, Duration=26.713886, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_6, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2EF91F43478B588C1E53949F7C1BB__EEE4A19474C1B0B9495C9D420BD5C639C0299C0A, StartTime=2016.05.27-14.19.21, HierarchicalDDC=, DataSize=262407, Duration=25.260691, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2EF91F43478B588C1E53949F7C1BB__9AD7235D668ACAFBAA9C438A66451C601A68322F, StartTime=2016.05.27-14.19.21, HierarchicalDDC=, DataSize=65799, Duration=2.577905, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2EF91F43478B588C1E53949F7C1BB__6A2784C6B6C9A65778CC356041D780ED269D852B, StartTime=2016.05.27-14.19.21, HierarchicalDDC=, DataSize=16647, Duration=1.804337, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_2EF91F43478B588C1E53949F7C1BB__86C3E9FB4BD88ADA83EC1208C737E5D4661631CE, StartTime=2016.05.27-14.19.21, HierarchicalDDC=, DataSize=7493, Duration=14.480323, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_8, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41FFCE_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.21, Duration=3087.896484, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__2C852E7868F513FA141150B3FB06AA648276993E, StartTime=2016.05.27-14.19.24, HierarchicalDDC=, DataSize=2097417, Duration=7.137716, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_7, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__D800AD93E3AB18614C714E5B03245BECD824F064, StartTime=2016.05.27-14.19.24, HierarchicalDDC=, DataSize=524553, Duration=4.421551, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__4E0C83D22725D73FE7422B1DE106C9852E035BA7, StartTime=2016.05.27-14.19.24, HierarchicalDDC=, DataSize=131335, Duration=2.575908, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__BF35246E184B2F3BBCFFF4905DBA9688583A2EA1, StartTime=2016.05.27-14.19.24, HierarchicalDDC=, DataSize=33031, Duration=2.509613, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_8, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__A04A56D0FED9DFF8E036793530EB021E6FA1F176, StartTime=2016.05.27-14.19.24, HierarchicalDDC=, DataSize=8455, Duration=2.101839, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_030D71EE4DA78F8E598967A31B41F__F938C8C3315CB7D129896CFCC78AD11134C096D8, StartTime=2016.05.27-14.19.24, HierarchicalDDC=, DataSize=4749, Duration=1.611773, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_9, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F00C6CAD4C5844ABE7963E9AFE3B1150_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.25, Duration=2927.416260, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F00C6CAD4C5844ABE7963E9AFE3B1__2BDE6832CBF7E319A3EA1B91AD774C2D7DE9CACC, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=4194569, Duration=14.586263, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_9, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F00C6CAD4C5844ABE7963E9AFE3B1__5AE490CA987A22ABBD33EFF964569CF5D7DDC86C, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=1048841, Duration=5.792461, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_12, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F00C6CAD4C5844ABE7963E9AFE3B1__C2472FBC4E816DBAF7B275A11A6D80B5F47166B3, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=262407, Duration=3.086627, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_13, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F00C6CAD4C5844ABE7963E9AFE3B1__72DE9680BE6414988B85D640F7D2156C327EDA90, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=65799, Duration=3.207561, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_10, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F00C6CAD4C5844ABE7963E9AFE3B1__6780FBA305946F4962095AB616EA404A583B42D3, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=16647, Duration=2.728824, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_F00C6CAD4C5844ABE7963E9AFE3B1__2854532947EA3734DD3DCEE541F47928504186B8, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=7493, Duration=2.712164, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_10, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5194A964BB93A23D70CB489BFE1F142_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000000000000000100000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.28, Duration=413.977264, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdFD2F6C884E755536859376A5679C539E_11, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5194A964BB93A23D70CB489BFE1F142___FCAA421F7E98B773BFFB3933BCCFA603CF689216, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=4194565, Duration=17.635244, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5194A964BB93A23D70CB489BFE1F142___0B70ADF47D80DBCE1CF6C8EA8382897D6C4D6AD2, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=1048837, Duration=4.705731, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_14, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5194A964BB93A23D70CB489BFE1F142___938AC98097F561C6C3C11DA0875DA29BA5A9BD1E, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=262403, Duration=2.991013, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_15, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5194A964BB93A23D70CB489BFE1F142___817B88891BAB58E743DA2E3DC298C8A8B7793E8D, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=65795, Duration=2.916388, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5194A964BB93A23D70CB489BFE1F142___BB204CCAD7D3E654E999CDB7DC9E044B12B030E5, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=16643, Duration=2.771799, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_16, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_BC5_B5194A964BB93A23D70CB489BFE1F142___839247E8D6EE215250D8B0F117DFFB84DA1CA9F4, StartTime=2016.05.27-14.19.28, HierarchicalDDC=, DataSize=7468, Duration=3.188904, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdC28BD1D54060BA17D81B9EBA0F0FC1BE_11, BuildTexture=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5A2DD9584937DEFEBDB4BBB0ACCE061C_07_0000803F0000803F0000803F000000000000803F00000000000000000000803F00000000000000000200000001000100000000000101000000040000803FFFFFFFFF00000000FF00FF00FFFF8180803B, StartTime=2016.05.27-14.19.28, Duration=985.199829, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionIdD311AF1B4EB68362E8AF44BC7806C22C_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5A2DD9584937DEFEBDB4BBB0ACCE0__EE42B5A919161EF0FF90EA5D8CFE550FE5D637A6, StartTime=2016.05.27-14.19.29, HierarchicalDDC=, DataSize=4194569, Duration=11.826791, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
DDCTransactionId29EF8E34413F5DC868FC70B9DC7AD1AD_17, PutCachedData=, CacheKey=TEXTURE_814DCC3DC72143F49509781513CB9855_AutoDXT_5A2DD9584937DEFEBDB4BBB0ACCE0__A2BE009ACA1C5442C03D8B8ABC32CF60505EA183, StartTime=2016.05.27-14.19.29, HierarchicalDDC=, DataSize=1048841, Duration=5.087186, RunGuid=RunID2B8E06664E38E5204DD1619074B2CE68
